1.1380,3.0000,289.9640,1349.4890,6677.3800,7.5840,7.5840,464.0060,288.0000,550.5630,1.0960,0.9980,5.9470,1.0190,7.1370,0.0820,0.9500,0.9750
2.0880,6.0000,6960.1800,1376.1660,6828.4690,28.2040,28.2040,635.4010,288.0000,581.6580,1.3310,0.9980,7.2820,1.0190,10.6550,0.2870,0.9500,0.9750
3.1440,9.0000,8379.2290,1386.7570,7111.8110,60.3580,60.3580,606.0020,288.0000,587.5870,1.3890,0.9980,7.5740,1.0200,13.0860,0.2590,0.9500,0.9750
4.1610,12.0000,14724.3950,1547.4650,7792.6300,113.7740,113.7740,661.4710,288.0000,613.8510,1.6580,0.9980,9.0070,1.0220,18.1090,0.3580,0.9500,0.9750
5.1400,15.0000,21636.4320,1924.3130,8494.7770,175.3060,175.3060,731.4940,288.0000,645.6420,2.0780,0.9980,11.1970,1.0260,26.3730,0.5220,0.9500,0.9750
6.1750,18.0000,29792.7310,2307.4040,8828.3600,246.2780,246.2780,800.4340,288.0000,676.3970,2.5010,0.9980,13.3560,1.0300,35.7600,0.7080,0.9500,0.9750
7.1480,21.0000,38982.1800,2678.0860,9132.4290,332.0770,332.0770,854.7470,288.0000,699.9540,2.9630,0.9980,15.6790,1.0350,45.8810,0.9080,0.9500,0.9750
8.2060,24.0000,50996.8080,3087.5610,9318.5620,437.9890,437.9890,952.1220,288.0000,741.7700,3.5760,0.9980,18.6320,1.0400,62.4400,1.2360,0.9500,0.9750
9.3000,27.0000,72763.3290,3560.3950,9778.5280,644.9050,644.9050,1115.7970,288.0000,789.0940,4.4980,0.9980,22.8110,1.0490,92.5560,1.8320,0.9500,0.9750
1.1380,3.0000,379.8800,1355.3750,6683.9160,7.9150,7.9150,464.0170,288.0000,550.9850,1.1000,0.9980,5.9630,1.0190,3.8790,0.0790,0.9500,0.9760
2.0880,6.0000,6969.1760,1371.9400,6828.4380,27.4240,27.4240,635.9600,288.0000,581.4400,1.3300,0.9980,7.2720,1.0190,12.7850,0.2890,0.9500,0.9760
3.1440,9.0000,8379.3070,1386.7580,7114.3960,60.3530,60.3530,605.1690,288.0000,587.4370,1.3890,0.9980,7.5670,1.0200,13.0520,0.2580,0.9500,0.9760
4.1610,12.0000,14724.5440,1547.4660,7794.6460,113.7950,113.7950,660.5680,288.0000,613.6880,1.6570,0.9980,8.9980,1.0220,18.0660,0.3580,0.9500,0.9760
5.1400,15.0000,21636.7770,1924.3130,8495.6970,175.3140,175.3140,730.4950,288.0000,645.4570,2.0780,0.9980,11.1850,1.0260,26.3160,0.5210,0.9500,0.9760
6.1750,18.0000,29792.9830,2307.3880,8829.3940,246.2950,246.2950,799.2980,288.0000,676.1700,2.5010,0.9980,13.3420,1.0300,35.6870,0.7070,0.9500,0.9760
7.1480,21.0000,38981.8960,2678.0860,9132.9320,332.2080,332.2080,853.7010,288.0000,699.7790,2.9630,0.9980,15.6610,1.0350,45.7990,0.9070,0.9500,0.9760
8.2060,24.0000,50997.2340,3087.5830,9318.9350,438.0980,438.0980,951.0730,288.0000,741.6050,3.5750,0.9980,18.6110,1.0400,62.3420,1.2340,0.9500,0.9760
9.3000,27.0000,72763.5150,3560.4010,9779.3110,644.9630,644.9630,1114.8870,288.0000,788.9490,4.4960,0.9980,22.7840,1.0490,92.4480,1.8300,0.9500,0.9760
1.1380,3.0000,753.0210,1371.8860,6697.8380,8.8580,8.8580,473.6650,288.0000,553.1430,1.1170,0.9980,6.0470,1.0190,0.0000,0.0880,0.9500,0.9770
2.0880,6.0000,6961.7260,1371.0570,6830.3640,27.2590,27.2590,635.1330,288.0000,581.2440,1.3300,0.9980,7.2620,1.0190,13.1920,0.2890,0.9500,0.9770
