,"sqrt(cos(Add(Mul(Add(Pow(Abs(Mul(sqrt(Mul(Add(Symbol('var_netmargin'),Mul(Integer(-1),Symbol('var_divyield'))),Pow(Pow(Symbol('var_roic'),2),Integer(-1)))),Pow(Pow(Mul(Pow(Symbol('var_invcapavg'),3),Pow(sin(Symbol('var_roe')),Integer(-1))),Integer(-1)),Integer(-1)))),Integer(-1)),Mul(Integer(-1),Add(Add(Mul(Pow(Pow(Mul(Symbol('var_roe'),Pow(Symbol('var_netmargin'),Integer(-1))),2),3),Pow(sin(Pow(Symbol('var_grossmargin'),3)),3)),Mul(Integer(-1),sqrt(cos(Mul(Add(Symbol('var_investments'),Mul(Integer(-1),Symbol('var_opex'))),Mul(Symbol('var_ebitda'),Pow(Symbol('var_cor'),Integer(-1)))))))),Mul(Integer(-1),sqrt(Pow(Pow(Pow(Mul(Symbol('var_debtusd'),Symbol('var_debtusd')),Integer(-1)),Integer(-1)),3)))))),Pow(sqrt(Add(sqrt(Pow(Add(log(Add(Symbol('var_de'),Mul(Integer(-1),Symbol('var_tbvps')))),Mul(Integer(-1),log(Pow(Symbol('var_divyield'),3)))),Integer(-1))),Mul(Integer(-1),sin(Pow(cos(Mul(Abs(Symbol('var_grossmargin')),Pow(log(Symbol('var_tbvps')),Integer(-1)))),Integer(-1)))))),Integer(-1))),Add(Add(sin(Mul(Pow(Mul(Abs(cos(Symbol('var_rnd'))),Pow(cos(Abs(Symbol('var_ebit'))),Integer(-1))),3),sqrt(cos(Mul(sqrt(Symbol('var_workingcapital')),Mul(Symbol('var_assetturnover'),Symbol('var_ros'))))))),Mul(Integer(-1),sin(Mul(sin(cos(sin(log(Symbol('var_taxexp'))))),Pow(Add(Add(Abs(Mul(Symbol('var_assetturnover'),Pow(Symbol('var_ros'),Integer(-1)))),Mul(Integer(-1),cos(Pow(Symbol('var_assetsavg'),3)))),Mul(Integer(-1),cos(Mul(Pow(Symbol('var_debtc'),2),Add(Symbol('var_payoutratio'),Symbol('var_liabilitiesnc')))))),Integer(-1)))))),log(Pow(Abs(Mul(Add(Abs(Add(Symbol('var_assetsavg'),Mul(Integer(-1),Symbol('var_rnd')))),Mul(Integer(-1),Pow(Pow(Symbol('var_bvps'),3),Integer(-1)))),sin(sin(sqrt(Symbol('var_opex')))))),3))))))","sqrt(sqrt(sqrt(sqrt(Mul(sin(sin(Pow(Symbol('var_tbvps'),3))),Pow(Add(sin(Symbol('var_bvps')),sin(Symbol('var_netmargin'))),2))))))","sqrt(sqrt(Abs(Mul(log(sqrt(Pow(sqrt(Pow(cos(cos(sin(Pow(Symbol('var_payoutratio'),3)))),2)),3))),Pow(Mul(sin(Pow(sin(Add(Add(sqrt(Add(cos(Symbol('var_liabilitiesnc')),Mul(Integer(-1),Mul(Symbol('var_ebitdamargin'),Pow(Symbol('var_netmargin'),Integer(-1)))))),Mul(Integer(-1),log(Add(cos(Symbol('var_invcapavg')),Mul(Integer(-1),Add(Symbol('var_workingcapital'),Mul(Integer(-1),Symbol('var_ros')))))))),Mul(Integer(-1),Add(Mul(Add(Mul(Symbol('var_liabilities'),Pow(Symbol('var_payoutratio'),Integer(-1))),Mul(Integer(-1),Add(Symbol('var_ev'),Symbol('var_ebitdamargin')))),Pow(sqrt(Pow(Symbol('var_roic'),3)),Integer(-1))),Pow(Abs(sqrt(Symbol('var_opex'))),3))))),3)),Pow(sin(Abs(Pow(sin(Add(Add(log(Add(Symbol('var_shareswa'),Mul(Integer(-1),Symbol('var_bvps')))),sin(Mul(Symbol('var_ebitdamargin'),Symbol('var_de')))),Mul(Integer(-1),Mul(Pow(Mul(Symbol('var_opex'),Symbol('var_debtc')),2),Pow(sqrt(sqrt(Symbol('var_de'))),Integer(-1)))))),2))),Integer(-1))),Integer(-1))))))",var_ev,var_liabilitiesnc
0,0.0,0.76055026,0.18756525,7.863937e-14,1.0427635e-17
1,0.0,0.7550095,0.16785027,6.41588e-13,4.158433e-17
2,0.0,0.77411556,0.19261244,3.3986384e-12,2.9052455e-15
3,0.0,0.7716736,0.20739783,1.2007033e-12,8.4589575e-16
4,0.0,0.76374835,0.20823568,1.8105724e-11,5.8977214e-15
5,0.0,0.76481915,0.18612297,3.7256582e-12,9.85053e-16
6,0.9938245,0.77754027,0.21901408,1.7250552e-13,3.8691075e-17
7,0.0,0.7498936,0.15922494,1.6113159e-14,9.403493e-19
8,0.0,0.7890228,0.20504221,7.443252e-15,0.0
9,0.5569592,0.7780904,0.23228563,2.460934e-11,7.527948e-15
10,0.0,0.7655511,0.15996827,1.1138857e-12,1.1179192e-15
11,0.0,0.76088285,0.18137555,4.1445596e-13,2.0140885e-17
12,0.0,0.759925,0.1708114,3.847977e-13,2.7623113e-16
13,0.0,0.78081787,0.20939772,7.7402055e-13,5.008313e-17
14,0.0,0.7730868,0.19776893,7.727659e-13,3.6299314e-16
15,0.0,0.76151115,0.19765729,2.0402397e-12,1.7314851e-15
16,0.0,0.7751613,0.2842908,1.5312705e-13,1.1383124e-18
17,0.0,0.76112354,0.13055786,2.7950668e-14,1.6183797e-17
18,0.0,0.7822742,0.229654,1.4627298e-10,6.904528e-14
19,0.0,0.7259587,0.17292747,3.2914147e-13,5.6912647e-19
20,0.0,0.7575884,0.1830987,7.5518715e-12,1.065762e-15
21,0.0,0.75767297,0.25809208,5.789452e-14,4.669766e-19
22,0.0,0.75678235,0.16788611,2.2590992e-12,1.9063444e-16
23,0.9035007,0.7760279,0.21347764,5.851243e-11,1.1065819e-14
24,0.0,0.76534915,0.19143176,6.2680183e-13,5.2706826e-16
25,0.0,0.759771,0.18467551,1.536209e-12,3.189037e-16
26,0.711639,0.7907209,0.23526596,6.899372e-11,3.194014e-14
27,0.0,0.7566042,0.20092244,1.774533e-14,9.548942e-19
28,0.0,0.78144276,0.21370609,9.051737e-12,1.8687732e-15
29,0.0,0.7787834,0.19256473,2.7511615e-10,3.168296e-14
30,0.0,0.7638743,0.19695042,3.227453e-14,1.3823344e-17
31,0.0,0.77568734,0.16789238,7.680825e-14,2.195066e-17
32,0.0,0.7414785,0.1510331,1.7668838e-13,1.5402133e-17
33,0.0,0.74753475,0.20247115,5.3683867e-12,3.3703384e-15
34,0.0,0.7580694,0.2040827,9.62687e-14,1.5144955e-18
35,0.0,0.75339156,0.2117338,1.8440712e-13,2.6713371e-17
36,0.0,0.7565641,0.15646847,5.2376324e-12,3.2466167e-16
37,0.0,0.79019856,0.237584,7.0586175e-13,1.2144539e-17
38,0.0,0.7714976,0.19528586,5.101424e-15,3.5719232e-20
39,0.0,0.77131885,0.1958521,4.3988246e-12,3.1063826e-15
40,0.0,0.7558954,0.1860472,2.1399268e-14,6.195501e-19
41,0.0,0.776458,0.20047985,1.3474828e-11,4.9272038e-15
42,0.0,0.76754576,0.19577634,2.9010078e-12,2.2458183e-15
43,0.87029576,0.81024754,0.2761644,5.27933e-13,1.5015866e-15
44,0.0,0.75795794,0.15088008,1.4039359e-11,5.4221793e-15
45,0.0,0.7645931,0.18610446,1.6915608e-13,6.4246994e-18
46,0.0,0.7642319,0.18303858,1.7346069e-11,4.5328185e-16
47,0.0,0.7702494,0.19692783,2.1781198e-11,8.730743e-15
48,0.0,0.76368105,0.18466248,1.3526111e-12,4.5489633e-17
49,0.0,0.7734003,0.20134836,5.1080546e-12,1.0654333e-15
50,0.0,0.7429383,0.15666842,4.3492614e-12,7.0788137e-16
51,0.7699777,0.81986356,0.33652222,2.3833238e-13,1.6488474e-16
52,0.0,0.75592583,0.18342228,1.1517894e-13,1.3509372e-16
53,0.0,0.7684072,0.19959995,1.4806937e-11,3.181867e-15
