,USD Raised,Token Sale Price,Current Token Price,Token Return,ETH Return,BTC Return,Token / ETH Return,Token / BTC Return,Token difference,Diff days,year3,year2,year1,years_survived
0,1034497.6943265633,1.1314981469522367,0.004,25.151635650127275,0.23,0.38,0.01,6.651696425168527,-2.538,155.6262313,False,False,True,Three
1,2520413.246560083,0.04100068578246609,0.4281255165470558,8.863937546769455,0.8056151951951583,7.957385072494931,0.2897560571724077,0.34758558305871795,-0.6541633730505327,656.2498670530014,False,True,False,Two
2,3773442.3739686743,0.17670155005636468,6.891742698867086,11.52003770939032,4.7393113594021905,6.111141004539645,0.7168382638510956,0.505290219552969,4.185907240910041,483.93071869252867,False,True,False,Two
3,3686086.847930109,0.005,0.05935575265029218,0.1827210654026358,5.822015280662319,2.177671105548262,1.1391014033720193,0.21406342717013743,-1.3123861354385875,170.9482780867524,False,False,True,One
4,3721571.4442321,0.005,0.6884855524313861,1.0615708187348525,11.018505968269752,3.996448421559027,0.01,0.026866064602482906,-0.10967097454897035,298.6918969263245,False,True,True,Two
5,5360841.674399676,4.406868656806928,6.782275260326811,0.13189277286977927,42.84616631900357,9.876387737355596,0.01,0.011153809427931911,2.462933208736135,705.4837769095983,False,True,False,Two
6,4921138.956096435,0.05619492840544971,22.134093916991933,67.32627429365137,4.7297716088989645,8.765718773569802,0.29707151278692645,2.598267618648976,17.563137363874667,740.4671940462945,True,False,True,Three
7,2679211.0347983623,0.005,0.07594602891727989,0.010756306959946903,0.2735353556817686,1.3750944676771955,0.17616356827490282,0.022868795033616975,-1.3149496996723145,257.3538570009639,False,True,False,Two
8,5800000.0,0.005,2.596257803382421,0.24900245339136182,31.054072037828057,8.153436712080243,0.33393528087579755,0.048814065978603674,1.694049832184286,720.4457765063217,True,False,False,One
9,5800000.0,0.46917810468341614,21.31207040886279,27.634463794198012,198.12066602611503,23.026078701760042,0.24351908677671294,0.28018411038487945,15.059934910001326,1068.626231,True,True,False,Two
10,2039759.3061594227,0.005,0.06388730669534001,0.47418104587331084,0.25724286132035656,3.0649696546402003,0.3606920996627434,0.1187601105399579,-1.2552513859150385,516.4194792354374,False,True,False,Two
11,5764739.611456503,1.1184678326417818,2.5035482323514433,0.027644833376644074,0.34697103051572,2.5082941163024124,0.25446836066723716,0.028322002926361854,0.6853936669337393,321.5375224692807,False,True,False,Two
12,4159378.1879899045,0.04091687247565601,0.01567353563716281,0.03663779050871545,0.4691016908263601,2.3047847299278152,0.01,0.0131330609338999,-1.8061091073836089,293.57009883770104,False,True,True,Two
13,4527274.67191514,1.5479568596222635,3.416105623437894,1.0075343341044387,1.6693139545613025,8.267975804526497,0.01,0.061874654374970015,1.1635672832800519,825.0794363041618,False,True,False,Two
