var_racePctWhite,var_nonViolPerPop,var_PctKids2Par,var_PctFam2Par,var_PctTeen2Par,target
0.34150654,0.00018804707,0.6425855,0.8615547,0.9129473,41.02
0.35560885,0.00026374107,0.60809386,0.8189623,0.82385373,127.56
0.3509949,0.0008316295,0.5619149,0.74009085,0.7215152,218.59
0.3622321,0.0006040392,0.44440097,0.6032673,0.64252204,306.64
0.35590655,0.00092600565,0.49734995,0.67789835,0.717799,442.95
0.3593298,0.00025496702,0.56839997,0.7494197,0.7348554,226.63
0.31579497,0.00066196657,0.41831842,0.5895096,0.5980229,439.73
0.3613391,0.0006401656,0.56797236,0.7477235,0.7689682,115.31
0.25153455,0.0012006095,0.38881522,0.5809346,0.58782715,1544.24
0.30965543,0.0010247736,0.4606491,0.6446348,0.6759679,722.02
0.18388814,0.0011919258,0.40164268,0.5471056,0.544662,2605.96
0.32145077,0.00074270763,0.43257117,0.6087327,0.6457618,798.39
0.16986026,0.0009939086,0.35788673,0.55266523,0.568865,1476.93
0.356167,0.00042210708,0.56954014,0.7723178,0.76601434,89.94
0.2754229,0.00057257817,0.5329106,0.72652155,0.7528647,374.07
0.3525205,0.0004773984,0.58471936,0.77740633,0.74324065,112.5
0.3074973,0.00083213113,0.54153347,0.73679274,0.7307581,772.77
0.19445556,0.0008312843,0.37228203,0.54314786,0.56457704,2097.71
0.19944161,0.00071984413,0.55500233,0.7549794,0.74505115,644.75
0.3629763,0.0007363634,0.51709,0.7011734,0.7356177,145.2
0.3123345,0.00075755495,0.5200831,0.7276524,0.7206576,560.71
0.36360887,0.0006565635,0.54595184,0.74188125,0.8153731,204.23
0.3521856,0.0004980721,0.54923,0.7377351,0.8283322,347.97
0.32506007,0.0009562369,0.45074344,0.6206058,0.6274666,894.51
0.3067903,0.0012329671,0.52492905,0.7113503,0.7315203,1143.9
0.2118695,0.0005961941,0.3642292,0.5665172,0.5884941,724.95
0.26887408,0.00063684717,0.4458975,0.63389236,0.63432735,1487.34
0.26355317,0.0008021426,0.48252708,0.71153885,0.717799,689.42
0.34660423,0.0006040392,0.44675264,0.61947507,0.6708224,49.93
0.36777627,0.00012401676,0.5574966,0.7583717,0.7359036,16.72
0.35092047,0.0007773252,0.55564374,0.74329466,0.8270935,649.83
0.32956237,0.00070860924,0.48331097,0.66253865,0.71360636,346.97
0.17335792,0.0015410101,0.3062205,0.46813998,0.47472116,1770.94
0.30667868,0.0006011778,0.53704387,0.7811756,0.76877767,609.81
0.14794399,0.0013996137,0.30059063,0.49443045,0.5176957,559.55
0.33972052,0.00037896354,0.5787332,0.77740633,0.74000096,205.56
0.29324615,0.0006040392,0.5020533,0.70645034,0.7330449,512.19
0.3500647,0.0006300863,0.46136174,0.63002896,0.6708224,734.61
0.20346022,0.000704889,0.42238045,0.6363424,0.6472864,919.33
0.23330204,0.0010186667,0.3795509,0.5586018,0.61021966,682.23
0.36394373,0.00034291664,0.5887101,0.7936141,0.8035575,131.47
0.35635304,0.00080086564,0.5324117,0.7226581,0.76725304,794.41
0.230809,0.00068704685,0.43599182,0.67997146,0.6928337,420.91
0.3698228,0.00042092588,0.51972675,0.7211504,0.71484506,92.91
0.33964607,0.0009970773,0.55364835,0.71361196,0.7740185,1087.25
0.30418566,0.00026273113,0.59341353,0.79097563,0.75734323,237.45
0.35244608,0.0008634316,0.4752582,0.6642348,0.72789943,212.87
0.28636244,0.0010666213,0.4198862,0.5902634,0.6244174,984.96
0.19914395,0.0007083355,0.3365076,0.5036651,0.5398977,1279.6
